 Count,Member,Party,Column1
217,"Ryan, Joan",Change UK   The Independent Group,#cccccc
216,"Thomas, Gareth",Labour (Co-op),#CC0000
215,"Fallon, Michael",Conservative,#0087DC
214,"Twigg, Stephen",Labour (Co-op),#CC0000
213,"Bradshaw, Ben",Labour,#DC241f
213,"McKinnell, Catherine",Labour,#DC241f
212,"Johnson, Caroline",Conservative,#0087DC
211,"Heaton-Harris, Chris",Conservative,#0087DC
210,"McGovern, Alison",Labour,#DC241f
209,"Lewis, Brandon",Conservative,#0087DC
209,"Smith, Owen",Labour,#DC241f
208,"Malhotra, Seema",Labour (Co-op),#CC0000
208,"Smeeth, Ruth",Labour,#DC241f
207,"Lee, Karen",Labour,#DC241f
206,"Pawsey, Mark",Conservative,#0087DC
205,"Reeves, Rachel",Labour,#DC241f
205,"Swinson, Jo",Liberal Democrat,#FAA61A
202,"Docherty, Leo",Conservative,#0087DC
201,"Gardiner, Barry",Labour,#DC241f
201,"Patel, Priti",Conservative,#0087DC
201,"Khan, Afzal",Labour,#DC241f
201,"Peacock, Stephanie",Labour,#DC241f
200,"Chapman, Jenny",Labour,#DC241f
200,"Powell, Lucy",Labour (Co-op),#CC0000
199,"McFadden, Pat",Labour,#DC241f
199,"Donelan, Michelle",Conservative,#0087DC
199,"Green, Chris",Conservative,#0087DC
197,"Blunt, Crispin",Conservative,#0087DC
197,"Bowie, Andrew",Conservative,#0087DC
196,"Aldous, Peter",Conservative,#0087DC
196,"Evans, Nigel",Conservative,#0087DC
195,"McCabe, Steve",Labour,#DC241f
195,"Clarke, Simon",Conservative,#0087DC
194,"Berger, Luciana",Change UK   The Independent Group,#cccccc
194,"Gray, James",Conservative,#0087DC
193,"Esterson, Bill",Labour,#DC241f
193,"Dhesi, Tanmanjeet Singh",Labour,#DC241f
191,"Fitzpatrick, Jim",Labour,#DC241f
191,"Pound, Stephen",Labour,#DC241f
190,"Bottomley, Peter",Conservative,#0087DC
190,"Goldsmith, Zac",Conservative,#0087DC
190,"Greenwood, Margaret",Labour,#DC241f
190,"Seely, Bob",Conservative,#0087DC
190,"Smith, Laura",Labour,#DC241f
189,"Dromey, Jack",Labour,#DC241f
189,"Rayner, Angela",Labour,#DC241f
188,"Kane, Mike",Labour,#DC241f
187,"David, Wayne",Labour,#DC241f
187,"Kyle, Peter",Labour,#DC241f
186,"Warman, Matt",Conservative,#0087DC
185,"Baron, John",Conservative,#0087DC
183,"Clifton-Brown, Geoffrey",Conservative,#0087DC
183,"Smyth, Karin",Labour,#DC241f
182,"Farron, Tim",Liberal Democrat,#FAA61A
182,"Offord, Matthew",Conservative,#0087DC
181,"Bailey, Adrian",Labour (Co-op),#CC0000
181,"Harris, Carolyn",Labour,#DC241f
180,"Bellingham, Henry",Conservative,#0087DC
178,"Crabb, Stephen",Conservative,#0087DC
178,"Grogan, John",Labour,#DC241f
178,"Morgan, Nicky",Conservative,#0087DC
178,"Cleverly, James",Conservative,#0087DC
178,"Hayes, Helen",Labour,#DC241f
177,"Lloyd, Stephen",Independent,#DDDDDD
177,"Cowan, Ronnie",Scottish National Party,#FEF987
177,"Thomas, Derek",Conservative,#0087DC
177,"Trevelyan, Anne-Marie",Conservative,#0087DC
176,"Buck, Karen",Labour,#DC241f
172,"Stringer, Graham",Labour,#DC241f
172,"Little Pengelly, Emma",Democratic Unionist Party,#D46A4C
171,"Byrne, Liam",Labour,#DC241f
171,"Phillips, Jess",Labour,#DC241f
171,"Carden, Dan",Labour,#DC241f
169,"Keeley, Barbara",Labour,#DC241f
169,"Smith, Angela",Change UK   The Independent Group,#cccccc
169,"Afolami, Bim",Conservative,#0087DC
168,"Heald, Oliver",Conservative,#0087DC
167,"Lee, Phillip",Conservative,#0087DC
167,"Davies, Chris",Liberal Democrat,#FAA61A
166,"Williams, Paul",Labour,#DC241f
165,"Davies, David T. C.",Conservative,#0087DC
165,"Jones, Helen",Labour,#DC241f
165,"Foxcroft, Vicky",Labour,#DC241f
164,"Mearns, Ian",Labour,#DC241f
164,"Fellows, Marion",Scottish National Party,#FEF987
163,"Jones, Graham P",Labour,#DC241f
163,"Quin, Jeremy",Conservative,#0087DC
163,"Brereton, Jack",Conservative,#0087DC
162,"Austin, Ian",Independent,#DDDDDD
162,"Walker, Charles",Conservative,#0087DC
161,"Benyon, Richard",Conservative,#0087DC
161,"Duguid, David",Conservative,#0087DC
161,"Lake, Ben",Plaid Cymru,#008142
158,"Law, Chris",Scottish National Party,#FEF987
158,"Watling, Giles",Conservative,#0087DC
156,"Morden, Jessica",Labour,#DC241f
156,"Williams, Hywel",Plaid Cymru,#008142
155,"Hoey, Kate",Labour,#DC241f
155,"Hosie, Stewart",Scottish National Party,#FEF987
155,"Kawczynski, Daniel",Conservative,#0087DC
154,"Bradley, Ben",Conservative,#0087DC
154,"Hill, Mike",Labour,#DC241f
153,"Hollingbery, George",Conservative,#0087DC
153,"McDonnell, John",Labour,#DC241f
153,"Umunna, Chuka",Change UK   The Independent Group,#cccccc
153,"Vara, Shailesh",Conservative,#0087DC
153,"Coyle, Neil",Labour,#DC241f
152,"Mitchell, Andrew",Conservative,#0087DC
152,"Percy, Andrew",Conservative,#0087DC
152,"Antoniazzi, Tonia",Labour,#DC241f
152,"Rodda, Matt",Labour,#DC241f
152,"Yasin, Mohammad",Labour,#DC241f
151,"Reynolds, Jonathan",Labour (Co-op),#CC0000
151,"Lewell-Buck, Emma",Labour,#DC241f
150,"Robertson, Laurence",Conservative,#0087DC
150,"Jayawardena, Ranil",Conservative,#0087DC
150,"Long Bailey, Rebecca",Labour,#DC241f
150,"Smith, Jeff",Labour,#DC241f
149,"Crawley, Angela",Scottish National Party,#FEF987
149,"Killen, Ged",Labour (Co-op),#CC0000
148,"Drax, Richard",Conservative,#0087DC
148,"Jones, Susan Elan",Labour,#DC241f
148,"McLoughlin, Patrick",Conservative,#0087DC
148,"Jones, Sarah",Labour,#DC241f
147,"Vaizey, Edward",Conservative,#0087DC
147,"Mann, Scott",Conservative,#0087DC
147,"Keegan, Gillian",Conservative,#0087DC
146,"Hillier, Meg",Labour (Co-op),#CC0000
146,"Soames, Nicholas",Conservative,#0087DC
146,"Turley, Anna",Labour (Co-op),#CC0000
145,"Hussain, Imran",Labour,#DC241f
144,"Ruane, Chris",Labour,#DC241f
143,"Poulter, Dan",Conservative,#0087DC
143,"Stephenson, Andrew",Conservative,#0087DC
143,"Pidcock, Laura",Labour,#DC241f
143,"Rowley, Danielle",Labour,#DC241f
142,"Kennedy, Seema",Conservative,#0087DC
141,"Ali, Rushanara",Labour,#DC241f
141,"Reynolds, Emma",Labour,#DC241f
141,"Allen, Heidi",Change UK   The Independent Group,#cccccc
140,"Whitehead, Alan",Labour,#DC241f
139,"Reed, Steve",Labour (Co-op),#CC0000
139,"Jones, Gerald",Labour,#DC241f
138,"Gale, Roger",Conservative,#0087DC
138,"Qureshi, Yasmin",Labour,#DC241f
136,"Latham, Pauline",Conservative,#0087DC
135,"Griffith, Nia",Labour,#DC241f
135,"Jarvis, Dan",Labour,#DC241f
135,"Cummins, Judith",Labour,#DC241f
134,"Blackman-Woods, Roberta",Labour,#DC241f
134,"Hopkins, Kelvin",Independent,#DDDDDD
134,"Murray, Sheryll",Conservative,#0087DC
133,"Duddridge, James",Conservative,#0087DC
133,"Lammy, David",Labour,#DC241f
133,"Robinson, Mary",Conservative,#0087DC
133,"Rowley, Lee",Conservative,#0087DC
133,"Walker, Thelma",Labour,#DC241f
132,"Burden, Richard",Labour,#DC241f
131,"Lopez, Julia",Conservative,#0087DC
130,"Jenkyns, Andrea",Conservative,#0087DC
129,"Adams, Nigel",Conservative,#0087DC
129,"Mackinlay, Craig",Conservative,#0087DC
129,"Fysh, Marcus",Conservative,#0087DC
129,"Heaton-Jones, Peter",Conservative,#0087DC
128,"McGinn, Conor",Labour,#DC241f
127,"Stuart, Graham",Conservative,#0087DC
127,"Morton, Wendy",Conservative,#0087DC
126,"Burgon, Richard",Labour,#DC241f
124,"De Piero, Gloria",Labour,#DC241f
124,"Glindon, Mary",Labour,#DC241f
124,"Menzies, Mark",Conservative,#0087DC
124,"Smith, Cat",Labour,#DC241f
123,"Pritchard, Mark",Conservative,#0087DC
121,"Chapman, Douglas",Scottish National Party,#FEF987
120,"Healey, John",Labour,#DC241f
120,"Jones, David",Conservative,#0087DC
120,"Knight, Greg",Conservative,#0087DC
120,"Paterson, Owen",Conservative,#0087DC
120,"Platt, Jo",Labour (Co-op),#CC0000
119,"Eagle, Maria",Labour,#DC241f
119,"Ellman, Louise",Labour (Co-op),#CC0000
119,"Tracey, Craig",Conservative,#0087DC
118,"Hayman, Sue",Labour,#DC241f
117,"Allan, Lucy",Conservative,#0087DC
117,"Cooper, Julie",Labour,#DC241f
116,"Allin-Khan, Rosena",Labour,#DC241f
116,"Gill, Preet Kaur",Labour (Co-op),#CC0000
114,"Phillipson, Bridget",Labour,#DC241f
114,"Shelbrooke, Alec",Conservative,#0087DC
114,"Whittingdale, John",Conservative,#0087DC
114,"Wragg, William",Conservative,#0087DC
113,"Lewis, Ivan",Independent,#DDDDDD
113,"Marsden, Gordon",Labour,#DC241f
113,"Tami, Mark",Labour,#DC241f
112,"Donaldson, Jeffrey M.",Democratic Unionist Party,#D46A4C
112,"Dorries, Nadine",Conservative,#0087DC
112,"Jones, Darren",Labour,#DC241f
111,"Flint, Caroline",Labour,#DC241f
111,"Watson, Tom",Labour,#DC241f
111,"Furniss, Gill",Labour,#DC241f
110,"Evans, Chris",Labour (Co-op),#CC0000
110,"Champion, Sarah",Labour,#DC241f
109,"Mak, Alan",Conservative,#0087DC
109,"Harrison, Trudy",Conservative,#0087DC
108,"Butler, Dawn",Labour,#DC241f
108,"Evennett, David",Conservative,#0087DC
108,"McNally, John",Scottish National Party,#FEF987
107,"Wiggin, Bill",Conservative,#0087DC
107,"Costa, Alberto",Conservative,#0087DC
105,"Herbert, Nick",Conservative,#0087DC
104,"Mills, Nigel",Conservative,#0087DC
104,"Simpson, David",Democratic Unionist Party,#D46A4C
103,"Lopresti, Jack",Conservative,#0087DC
103,"Wilson, Phil",Labour,#DC241f
102,"Rosindell, Andrew",Conservative,#0087DC
102,"Streeter, Gary",Conservative,#0087DC
101,"Mann, John",Labour,#DC241f
99,"Rashid, Faisal",Labour,#DC241f
98,"Siddiq, Tulip",Labour,#DC241f
98,"Hall, Luke",Conservative,#0087DC
97,"Bacon, Richard",Conservative,#0087DC
97,"Clwyd, Ann",Labour,#DC241f
95,"Flynn, Paul",Labour,#DC241f
95,"Onasanya, Fiona",Independent,#DDDDDD
95,"Daby, Janet",Labour,#DC241f
94,"Collins, Damian",Conservative,#0087DC
94,"Hamilton, Fabian",Labour,#DC241f
94,"Skinner, Dennis",Labour,#DC241f
93,"Cryer, John",Labour,#DC241f
93,"Liddell-Grainger, Ian",Conservative,#0087DC
92,"Boles, Nick",Independent,#DDDDDD
91,"Turner, Karl",Labour,#DC241f
90,"Badenoch, Kemi",Conservative,#0087DC
90,"Jack, Alister",Conservative,#0087DC
89,"Mahmood, Khalid",Labour,#DC241f
89,"Morris, David",Conservative,#0087DC
89,"Nandy, Lisa",Labour,#DC241f
88,"Black, Mhairi",Scottish National Party,#FEF987
87,"Sturdy, Julian",Conservative,#0087DC
87,"Frith, James",Labour,#DC241f
86,"Chishti, Rehman",Conservative,#0087DC
86,"Djanogly, Jonathan",Conservative,#0087DC
86,"Kendall, Liz",Labour,#DC241f
85,"Sharma, Virendra",Labour,#DC241f
85,"Mercer, Johnny",Conservative,#0087DC
